companyID,employeeID,name,employeeNumber
66,4285,ITEORA GMBH,1811
67,2260,VRP CONSULTING,4509
68,2684,ELEKS,1617
69,4531,COMSENSE TECHNOLOGIES,4149
70,4971,CIKLUM,4581
71,5257,SOFTSERVE,2152
72,5360,UNICSOFT,3455
73,1652,THINKPORT GMBH,1239
74,581,THINKPORT GMBH,3538
75,505,VRP CONSULTING,5225
76,4332,JELVIX,2927
77,1722,AVENGA,4188
78,941,COMSENSE TECHNOLOGIES,4184
79,451,COMSENSE TECHNOLOGIES,1042
80,5682,ELEKS,4907
81,2021,PROMX,4073
82,397,ITEORA GMBH,2983
83,5393,VRP CONSULTING,3387
84,3025,COMSENSE TECHNOLOGIES,2096
85,1169,CIKLUM,254
86,1501,UNICSOFT,1496
87,4559,LEMLOCK,3294
88,1847,FEXLE INC.,2789
89,4049,LEMLOCK,1499
90,4344,IT SVIT,1003
91,180,COMSENSE TECHNOLOGIES,1941
92,1627,CIKLUM,532
93,4455,ITEORA GMBH,3522
94,3852,DATAART,1362
95,2538,SOFTSERVE,5192
96,524,COMSENSE TECHNOLOGIES,1151
97,1488,THINKPORT GMBH,1975
98,4335,UNICSOFT,4511
99,3079,UNICSOFT,3751
100,5108,IT SVIT,3764
101,835,COMSENSE TECHNOLOGIES,1567
102,5149,INSTINCTOOLS,3214
103,3611,ADASTRA,4718
104,2170,JELVIX,3330
105,2749,AVENGA,3236
106,230,LEMLOCK,2944
107,3868,LEMLOCK,1320
108,2549,ITEORA GMBH,1403
109,4603,THINKPORT GMBH,2975
110,2116,INFOPULSE,973
111,3027,VRP CONSULTING,3401
112,4092,ITEORA GMBH,3715
113,4832,COMSENSE TECHNOLOGIES,4923
114,3676,LEMLOCK,1472
115,3330,SOFTSERVE,4608
116,844,PROMX,1647
117,396,ITEORA GMBH,2870
118,1851,COMMENCIS,517
119,4126,AVENGA,1893
120,1299,IT SVIT,5627
121,3206,CIKLUM,3345
122,4951,COMSENSE TECHNOLOGIES,277
123,2868,FEXLE INC.,2135
124,3947,PROMX,1159
125,3253,LEMLOCK,4811
126,4813,IT SVIT,5678
127,1224,VRP CONSULTING,4404
128,3102,FUTURE PROCESSING,495
129,247,ITEORA GMBH,4958
130,3305,UNICSOFT,4871
131,2078,UNICSOFT,5352
132,1902,COMMENCIS,721
133,1064,COMMENCIS,3614
134,654,COMMENCIS,4379
135,4784,INSTINCTOOLS,577
136,5410,PROMX,2843
137,1883,ADASTRA,1504
138,2180,JELVIX,3863
139,380,LEMLOCK,5389
140,3856,INSTINCTOOLS,1751
141,1537,VRP CONSULTING,5401
142,5390,PROMX,1321
143,3398,PROMX,1674
144,2085,INFOPULSE,3537
145,4241,COMMENCIS,3579
146,2482,INFOPULSE,3798
147,4928,COMMENCIS,4028
148,4782,SOFTSERVE,5322
149,1781,DATAART,3899
150,2570,FUTURE PROCESSING,3627
151,1458,THINKPORT GMBH,1302
152,4825,COMMENCIS,1411
153,4449,AVENGA,2994
154,5361,JELVIX,1452
155,5651,ADASTRA,3515
156,4084,FUTURE PROCESSING,114
157,3800,LEMLOCK,287
158,1388,LEMLOCK,118
159,130,ITEORA GMBH,3110
160,3095,ITEORA GMBH,3468
161,3578,CIKLUM,740
162,2949,CIKLUM,144
163,2657,DATAART,1808
164,4425,FEXLE INC.,2746
165,4429,ITEORA GMBH,2067
166,2300,UNICSOFT,3235
167,609,CIKLUM,356
168,1767,AVENGA,4590
169,4860,IT SVIT,2617
170,1720,SOFTSERVE,1556
171,2214,THINKPORT GMBH,5377
172,4929,IT SVIT,2008
173,1257,ELEKS,3248
174,3325,INSTINCTOOLS,4667
175,1350,UNICSOFT,3896
176,3413,JELVIX,783
177,3817,IT SVIT,2561
178,2301,THINKPORT GMBH,3572
179,5541,AVENGA,4949
180,221,INSTINCTOOLS,3668
181,4744,INSTINCTOOLS,4226
182,4056,SOFTSERVE,2835
183,4441,CIKLUM,5642
184,209,JELVIX,169
185,4219,AVENGA,3230
186,3125,DATAART,2945
187,2892,LEMLOCK,3803
188,4232,UNICSOFT,1915
189,2931,SOFTSERVE,1416
190,1791,ITEORA GMBH,3400
191,3957,UNICSOFT,820
192,5079,INSTINCTOOLS,4093
193,4630,JELVIX,2069
194,3775,IT SVIT,3836
195,1871,VRP CONSULTING,2249
196,998,COMMENCIS,2646
197,2757,FEXLE INC.,1015
198,4226,DATAART,1798
199,1237,VRP CONSULTING,958
200,486,AVENGA,4804
201,4609,INFOPULSE,4049
202,3879,DATAART,1761
203,399,COMMENCIS,4438
204,4622,LEMLOCK,1080
205,1022,COMSENSE TECHNOLOGIES,3313
206,585,COMMENCIS,4696
207,2531,JELVIX,1017
208,4659,LEMLOCK,2437
209,1653,THINKPORT GMBH,268
210,2480,CIKLUM,2509
211,2952,THINKPORT GMBH,533
212,1139,FEXLE INC.,5580
213,2053,AVENGA,1534
214,5569,LEMLOCK,4691
215,1225,CIKLUM,2822
216,3562,FUTURE PROCESSING,1189
217,4851,LEMLOCK,4978
218,5560,IT SVIT,3367
219,3107,CIKLUM,1902
220,382,DATAART,4052
221,3874,UNICSOFT,5375
222,2587,AVENGA,1438
223,3397,INFOPULSE,1450
224,947,UNICSOFT,679
225,5303,THINKPORT GMBH,150
226,4902,FUTURE PROCESSING,4401
227,2450,SOFTSERVE,3094
228,278,VRP CONSULTING,4631
229,220,AVENGA,177
230,4311,INFOPULSE,4642
231,4534,VRP CONSULTING,417
232,1171,AVENGA,5010
233,1395,THINKPORT GMBH,2399
234,4515,FEXLE INC.,3886
235,3656,PROMX,536
236,1940,JELVIX,4616
237,5505,ADASTRA,3237
238,2380,ELEKS,4180
239,322,AVENGA,5187
240,2065,FEXLE INC.,104
241,3015,PROMX,3944
242,2121,ITEORA GMBH,4183
243,760,THINKPORT GMBH,4050
244,4706,JELVIX,1089
245,3872,CIKLUM,2590
246,4127,UNICSOFT,5698
247,4095,ELEKS,4020
248,346,LEMLOCK,4751
249,630,ITEORA GMBH,5360
250,1151,FUTURE PROCESSING,1510
251,4262,ADASTRA,3934
252,231,INFOPULSE,3095
253,1667,LEMLOCK,4080
254,3924,JELVIX,1737
255,1500,COMSENSE TECHNOLOGIES,1054
256,1818,COMSENSE TECHNOLOGIES,1470
257,2136,LEMLOCK,5527
258,1953,ITEORA GMBH,2280
259,1110,LEMLOCK,2781
260,2743,COMSENSE TECHNOLOGIES,4589
261,2463,ELEKS,1291
262,3491,IT SVIT,1481
263,1611,IT SVIT,3043
264,2623,VRP CONSULTING,5175
265,2905,ITEORA GMBH,5712
266,2846,INFOPULSE,4692
267,2833,FUTURE PROCESSING,4103
268,5043,ADASTRA,546
269,4303,COMMENCIS,1660
270,4660,JELVIX,4163
271,1506,IT SVIT,4662
272,5150,THINKPORT GMBH,3493
273,111,DATAART,193
274,2810,COMMENCIS,3060
275,4997,COMSENSE TECHNOLOGIES,1727
276,4072,COMMENCIS,196
277,1739,AVENGA,2727
278,1297,INSTINCTOOLS,2679
279,2769,INSTINCTOOLS,1482
280,5350,IT SVIT,2214
281,5498,SOFTSERVE,2465
282,1128,THINKPORT GMBH,3104
283,281,SOFTSERVE,2162
284,1016,SOFTSERVE,5034
285,2059,ITEORA GMBH,1874
286,2142,INSTINCTOOLS,2297
287,5106,DATAART,443
288,5561,JELVIX,4621
289,3166,CIKLUM,2038
290,1925,FUTURE PROCESSING,5325
291,2003,ELEKS,2197
292,3729,ADASTRA,1156
293,4481,AVENGA,3359
294,3830,FEXLE INC.,1983
295,5107,VRP CONSULTING,3056
296,1472,DATAART,754
297,5250,CIKLUM,271
298,4221,CIKLUM,276
299,5306,PROMX,5456
300,5400,ELEKS,1088
301,883,AVENGA,5025
302,2476,ELEKS,149
303,5657,UNICSOFT,5554
304,5177,FEXLE INC.,3573
305,3292,UNICSOFT,3745
306,3284,INSTINCTOOLS,1773
307,1278,UNICSOFT,5147
308,2414,COMSENSE TECHNOLOGIES,4476
309,1036,CIKLUM,3714
310,1592,FUTURE PROCESSING,5425
311,5689,THINKPORT GMBH,2064
312,1600,INSTINCTOOLS,4881
313,4063,INFOPULSE,3771
314,4028,THINKPORT GMBH,3231
315,5642,CIKLUM,4209
316,3197,JELVIX,2265
317,1215,INFOPULSE,949
318,4573,FUTURE PROCESSING,3224
319,613,FUTURE PROCESSING,313
320,2126,FEXLE INC.,1848
321,3910,INFOPULSE,3705
322,3702,PROMX,1970
323,5588,ELEKS,868
324,2080,FUTURE PROCESSING,3347
325,5302,ELEKS,4118
326,3366,SOFTSERVE,3457
327,4260,IT SVIT,4197
328,2115,INFOPULSE,3612
329,3387,ELEKS,5244
330,1313,FEXLE INC.,554
331,2313,JELVIX,4575
332,2875,FEXLE INC.,450
333,2346,AVENGA,5619
334,343,PROMX,4107
335,3270,PROMX,2329
336,2243,ADASTRA,4576
337,2490,FUTURE PROCESSING,3598
338,1745,DATAART,2938
339,4734,INFOPULSE,1113
340,4631,UNICSOFT,5475
341,3985,UNICSOFT,2338
342,3837,DATAART,2164
343,920,SOFTSERVE,3051
344,1352,JELVIX,4986
345,5075,SOFTSERVE,4603
346,3452,COMMENCIS,930
347,2697,SOFTSERVE,5094
348,1711,CIKLUM,4442
349,553,IT SVIT,5221
350,1387,CIKLUM,212
351,1255,ITEORA GMBH,4532
352,2667,DATAART,1889
353,2527,ELEKS,3026
354,3875,FEXLE INC.,3778
355,2674,ADASTRA,506
356,1279,ADASTRA,2271
357,2395,FUTURE PROCESSING,5075
358,922,ADASTRA,2869
359,5161,PROMX,2665
360,5129,DATAART,3028
361,848,AVENGA,3974
362,1121,FUTURE PROCESSING,4510
363,2162,COMSENSE TECHNOLOGIES,5033
364,1634,THINKPORT GMBH,697
365,5098,JELVIX,4474
366,4468,ITEORA GMBH,2624
367,624,VRP CONSULTING,4372
368,128,SOFTSERVE,4943
369,1956,AVENGA,5533
370,5611,VRP CONSULTING,4022
371,1869,ITEORA GMBH,2092
372,2127,INFOPULSE,3444
373,4249,PROMX,4738
374,5633,LEMLOCK,2777
375,1099,VRP CONSULTING,1453
376,2932,FUTURE PROCESSING,3466
377,2828,ITEORA GMBH,5135
378,5431,SOFTSERVE,3482
379,5335,FEXLE INC.,2824
380,2850,COMMENCIS,835
381,535,INFOPULSE,160
382,2669,THINKPORT GMBH,4337
383,1524,ADASTRA,953
384,3567,IT SVIT,1910
385,4268,SOFTSERVE,411
386,3751,IT SVIT,5253
387,5634,LEMLOCK,3739
388,724,AVENGA,525
389,3137,DATAART,2816
390,621,COMSENSE TECHNOLOGIES,2430
391,3006,COMMENCIS,1810
392,1289,INSTINCTOOLS,2369
393,5189,IT SVIT,2160
394,2641,FEXLE INC.,4714
395,1650,FUTURE PROCESSING,4567
396,4096,JELVIX,2718
397,2959,INFOPULSE,1099
398,3975,AVENGA,2141
399,3481,IT SVIT,4753
400,821,UNICSOFT,4203
401,369,VRP CONSULTING,608
402,4054,LEMLOCK,3932
403,2101,ITEORA GMBH,2435
404,1180,UNICSOFT,556
405,2671,AVENGA,2370
406,4015,JELVIX,3995
407,1704,VRP CONSULTING,4099
408,4017,FEXLE INC.,2016
409,2155,DATAART,4893
410,1316,AVENGA,3556
411,5008,FUTURE PROCESSING,5154
412,746,LEMLOCK,3961
413,2220,FUTURE PROCESSING,2823
414,1112,ITEORA GMBH,4720
415,5664,INSTINCTOOLS,5335
416,1341,JELVIX,1652
417,2292,CIKLUM,3424
418,3545,AVENGA,1073
419,1176,AVENGA,2689
420,4693,UNICSOFT,3869
421,1864,SOFTSERVE,4661
422,1588,SOFTSERVE,5283
423,677,FUTURE PROCESSING,2129
424,2766,IT SVIT,2591
425,3606,PROMX,2488
426,4198,ADASTRA,5259
427,4086,SOFTSERVE,289
428,3538,PROMX,1476
429,1228,DATAART,2762
430,4158,INSTINCTOOLS,4814
431,520,AVENGA,281
432,1351,ELEKS,448
433,1928,THINKPORT GMBH,1697
434,3600,AVENGA,2151
435,4896,THINKPORT GMBH,3091
436,4680,FUTURE PROCESSING,3887
437,4826,DATAART,1760
438,4123,ADASTRA,779
439,2725,AVENGA,1247
440,4112,PROMX,3264
441,273,DATAART,5491
442,3416,ELEKS,3672
443,846,DATAART,3349
444,1409,ADASTRA,2779
445,2866,ITEORA GMBH,4560
446,1311,LEMLOCK,4150
447,1793,THINKPORT GMBH,3549
448,1195,UNICSOFT,3191
449,3288,VRP CONSULTING,2210
450,4188,AVENGA,1506
451,1932,UNICSOFT,2342
452,2954,INFOPULSE,626
453,758,AVENGA,4791
454,1761,IT SVIT,3243
455,5355,CIKLUM,4282
456,646,JELVIX,837
457,1747,IT SVIT,3660
458,4379,IT SVIT,882
459,2438,PROMX,2077
460,1456,ITEORA GMBH,4568
461,1493,IT SVIT,5346
462,515,INFOPULSE,5686
463,3309,SOFTSERVE,4146
464,3896,THINKPORT GMBH,2364
465,1437,IT SVIT,4109
466,2540,ADASTRA,5558
467,3781,FUTURE PROCESSING,1170
468,3360,ITEORA GMBH,5592
469,1699,FUTURE PROCESSING,1313
470,1482,SOFTSERVE,1840
471,5537,ADASTRA,4701
472,907,VRP CONSULTING,321
473,715,FUTURE PROCESSING,2174
474,4099,DATAART,3820
475,1446,COMSENSE TECHNOLOGIES,1164
476,3597,ELEKS,3446
477,4452,COMSENSE TECHNOLOGIES,3656
478,1495,FEXLE INC.,1522
479,2628,DATAART,5098
480,1386,SOFTSERVE,4749
481,2342,JELVIX,2043
482,4093,FUTURE PROCESSING,5399
483,3193,COMMENCIS,5395
484,5254,VRP CONSULTING,4214
485,2597,CIKLUM,1257
486,1447,INSTINCTOOLS,4233
487,3814,INSTINCTOOLS,2109
488,3521,FEXLE INC.,4505
489,1868,COMSENSE TECHNOLOGIES,151
490,5178,FUTURE PROCESSING,4799
491,2617,LEMLOCK,3478
492,429,ITEORA GMBH,4220
493,2817,COMSENSE TECHNOLOGIES,1912
494,4963,COMSENSE TECHNOLOGIES,4448
495,681,INFOPULSE,5183
496,1622,FEXLE INC.,2721
497,2071,ELEKS,4059
498,1107,FEXLE INC.,203
499,2351,INSTINCTOOLS,5131
500,2756,IT SVIT,3819
501,5545,ADASTRA,5464
502,3973,FEXLE INC.,597
503,3772,SOFTSERVE,3495
504,5492,COMMENCIS,3784
505,3962,PROMX,103
506,2670,PROMX,3630
507,3881,UNICSOFT,207
508,1630,INSTINCTOOLS,2939
509,1420,DATAART,2451
510,1491,LEMLOCK,3119
511,3886,INSTINCTOOLS,3325
512,2280,FEXLE INC.,3086
513,1310,SOFTSERVE,4977
514,3527,FEXLE INC.,3464
515,2646,COMSENSE TECHNOLOGIES,4905
516,2235,DATAART,3108
517,3023,JELVIX,4253
518,4787,FUTURE PROCESSING,3252
519,4761,INFOPULSE,4463
520,2460,JELVIX,2743
521,1542,ADASTRA,1001
522,412,ITEORA GMBH,3828
523,1753,FEXLE INC.,4732
524,2468,THINKPORT GMBH,3613
525,2015,JELVIX,2549
526,2165,INFOPULSE,2266
527,928,INFOPULSE,3606
528,2876,AVENGA,5363
529,1077,VRP CONSULTING,2850
530,400,LEMLOCK,183
531,341,AVENGA,2374
532,3140,ITEORA GMBH,1997
533,4504,IT SVIT,3201
534,4227,SOFTSERVE,3182
535,3595,VRP CONSULTING,328
536,5003,COMSENSE TECHNOLOGIES,396
537,4824,FUTURE PROCESSING,1123
538,468,ITEORA GMBH,3476
539,3105,INSTINCTOOLS,884
540,1731,ELEKS,5690
541,2295,INFOPULSE,293
542,417,UNICSOFT,1282
543,2063,JELVIX,1260
544,989,JELVIX,4869
545,861,UNICSOFT,2607
546,4748,ELEKS,4954
547,5070,COMMENCIS,765
548,4302,FUTURE PROCESSING,4257
549,1970,CIKLUM,3708
550,740,ADASTRA,5282
551,163,DATAART,194
552,3291,UNICSOFT,2343
553,5647,UNICSOFT,5632
554,2950,SOFTSERVE,3398
555,915,VRP CONSULTING,309
556,1499,VRP CONSULTING,2668
557,5001,FUTURE PROCESSING,1462
558,2225,COMSENSE TECHNOLOGIES,2215
559,5088,COMSENSE TECHNOLOGIES,778
560,259,THINKPORT GMBH,2267
561,2267,ITEORA GMBH,3707
562,4842,UNICSOFT,5345
563,1691,INFOPULSE,280
564,2007,PROMX,2548
565,353,THINKPORT GMBH,3220
566,2324,ELEKS,902
567,4132,CIKLUM,2610
568,1292,JELVIX,5162
569,1125,JELVIX,1474
570,5336,INSTINCTOOLS,3862
571,3758,UNICSOFT,5237
572,4522,THINKPORT GMBH,4614
573,5269,ADASTRA,4633
574,856,SOFTSERVE,1385
575,1820,LEMLOCK,935
576,2709,INFOPULSE,4454
577,4663,JELVIX,4562
578,4383,FEXLE INC.,5290
579,4217,ADASTRA,3167
580,1568,SOFTSERVE,5610
581,5159,IT SVIT,3826
582,5586,DATAART,5157
583,1349,VRP CONSULTING,1067
584,4887,COMSENSE TECHNOLOGIES,1839
585,2016,INFOPULSE,4746
586,2019,ELEKS,3651
587,4735,LEMLOCK,1074
588,1375,CIKLUM,2518
589,584,CIKLUM,4830
590,4404,SOFTSERVE,198
591,2325,COMMENCIS,3999
592,2933,COMMENCIS,3993
593,2624,VRP CONSULTING,4242
594,4433,INFOPULSE,735
595,5121,JELVIX,2814
596,3722,DATAART,2239
597,2208,INFOPULSE,917
598,538,FUTURE PROCESSING,1821
599,1536,LEMLOCK,4494
600,3531,ADASTRA,2815
601,4976,CIKLUM,4684
602,3227,COMSENSE TECHNOLOGIES,1454
603,854,ADASTRA,4108
604,2579,UNICSOFT,4019
605,4617,INFOPULSE,4312
606,3488,INFOPULSE,3411
607,4808,INFOPULSE,1322
608,1003,PROMX,5109
609,4643,INFOPULSE,3489
610,2566,ADASTRA,3354
611,979,ELEKS,2356
612,2176,ADASTRA,1638
613,5349,FUTURE PROCESSING,1531
614,711,COMMENCIS,575
615,4966,VRP CONSULTING,5652
616,1566,UNICSOFT,4295
617,3260,UNICSOFT,4378
618,405,FEXLE INC.,3958
619,3004,COMSENSE TECHNOLOGIES,4370
620,340,CIKLUM,5383
621,2443,FEXLE INC.,3274
622,5699,ELEKS,529
623,2317,IT SVIT,872
624,3796,CIKLUM,3727
625,4214,SOFTSERVE,2124
626,3760,JELVIX,553
627,541,IT SVIT,2659
628,4106,THINKPORT GMBH,1097
629,4597,IT SVIT,5015
630,2344,INFOPULSE,1484
631,783,JELVIX,433
632,1576,IT SVIT,4338
633,3002,FEXLE INC.,731
634,5268,COMMENCIS,4839
635,2086,AVENGA,3127
636,1142,IT SVIT,4332
637,4800,COMSENSE TECHNOLOGIES,4136
638,1852,INSTINCTOOLS,1311
639,3705,SOFTSERVE,5493
640,4747,DATAART,3496
641,1726,ITEORA GMBH,3757
642,3827,ITEORA GMBH,5057
643,1330,COMMENCIS,926
644,2784,ADASTRA,1000
645,1546,FUTURE PROCESSING,1774
646,2037,IT SVIT,1439
647,578,LEMLOCK,5479
648,3333,PROMX,4473
649,1156,ADASTRA,1634
650,1322,ADASTRA,414
651,1601,UNICSOFT,232
652,2130,AVENGA,4175
653,3172,COMMENCIS,5654
654,4688,AVENGA,4792
655,5123,FUTURE PROCESSING,2778
656,4118,COMMENCIS,1021
657,4237,THINKPORT GMBH,2792
658,5379,SOFTSERVE,274
659,3209,ITEORA GMBH,1872
660,3437,ITEORA GMBH,2333
661,634,PROMX,549
662,3665,FEXLE INC.,1951
663,464,SOFTSERVE,1585
664,1226,DATAART,5128
665,3320,THINKPORT GMBH,4493
666,4736,COMMENCIS,3229
667,4904,ELEKS,2723
668,2590,UNICSOFT,453
669,4490,COMMENCIS,1174
670,2912,VRP CONSULTING,5468
671,629,INSTINCTOOLS,1827
672,308,FUTURE PROCESSING,1636
673,2716,CIKLUM,2881
674,5223,ITEORA GMBH,5123
675,5093,ELEKS,4759
676,1964,LEMLOCK,2896
677,3342,COMSENSE TECHNOLOGIES,2351
678,2228,COMMENCIS,4683
679,1969,IT SVIT,653
680,1101,DATAART,1654
681,2943,FUTURE PROCESSING,2485
682,2423,FUTURE PROCESSING,2269
683,5518,JELVIX,1505
684,1855,JELVIX,3605
685,3523,CIKLUM,4105
686,188,ADASTRA,2872
687,196,COMSENSE TECHNOLOGIES,3272
688,3042,INFOPULSE,1356
689,2863,LEMLOCK,2242
690,4308,FUTURE PROCESSING,115
691,4874,THINKPORT GMBH,3927
692,1836,ITEORA GMBH,5289
693,5253,UNICSOFT,3831
694,995,AVENGA,4421
695,1821,INFOPULSE,1070
696,5511,ADASTRA,5433
697,502,LEMLOCK,1631
698,4120,FEXLE INC.,4961
699,2234,ELEKS,1731
700,4304,UNICSOFT,4610
701,2435,CIKLUM,1457
702,573,ITEORA GMBH,2208
703,198,FUTURE PROCESSING,100
704,3484,VRP CONSULTING,2553
705,1168,AVENGA,1574
706,1173,FEXLE INC.,1622
707,5401,IT SVIT,4013
708,253,ITEORA GMBH,570
709,4033,LEMLOCK,4012
710,547,INSTINCTOOLS,3584
711,4228,COMMENCIS,4247
712,2492,ITEORA GMBH,2433
713,1702,COMSENSE TECHNOLOGIES,182
714,4852,VRP CONSULTING,2942
715,3160,LEMLOCK,3868
716,2452,ADASTRA,1399
717,3052,COMMENCIS,420
718,4524,SOFTSERVE,3426
719,1599,ITEORA GMBH,3939
720,4558,ADASTRA,5143
721,360,INFOPULSE,2831
722,5681,AVENGA,5696
723,4046,COMMENCIS,1421
724,2447,SOFTSERVE,410
725,2010,INFOPULSE,5163
726,1502,ADASTRA,176
727,5018,UNICSOFT,4855
728,628,DATAART,163
729,3212,PROMX,2335
730,5679,DATAART,1231
731,106,FEXLE INC.,719
732,4983,ELEKS,2556
733,3847,DATAART,3133
734,3728,THINKPORT GMBH,5469
735,2092,ELEKS,279
736,2528,INFOPULSE,5549
737,2937,FEXLE INC.,5626
738,181,PROMX,3938
739,1535,PROMX,5366
740,3808,INSTINCTOOLS,245
741,5292,LEMLOCK,4460
742,4259,ELEKS,4570
743,1444,ITEORA GMBH,2474
744,1442,THINKPORT GMBH,3473
745,1339,IT SVIT,3548
746,2327,ADASTRA,1809
747,4725,UNICSOFT,1906
748,4698,AVENGA,2651
749,2914,IT SVIT,2774
750,1958,COMSENSE TECHNOLOGIES,1146
751,1573,THINKPORT GMBH,1562
752,5701,THINKPORT GMBH,2013
753,2739,INSTINCTOOLS,489
754,545,CIKLUM,4014
755,4231,AVENGA,2228
756,2985,INSTINCTOOLS,3364
757,927,THINKPORT GMBH,235
758,3692,SOFTSERVE,4271
759,5227,INSTINCTOOLS,4647
760,2921,DATAART,2120
761,166,LEMLOCK,683
762,3850,LEMLOCK,4222
763,2989,ITEORA GMBH,4375
764,1947,SOFTSERVE,2268
765,283,UNICSOFT,1658
766,2792,UNICSOFT,3239
767,2505,ITEORA GMBH,5111
768,5042,THINKPORT GMBH,2035
769,3059,ITEORA GMBH,5666
770,2386,COMSENSE TECHNOLOGIES,4697
771,2440,CIKLUM,175
772,5516,UNICSOFT,2128
773,3690,VRP CONSULTING,524
774,3114,FEXLE INC.,111
775,4935,AVENGA,4534
776,4222,THINKPORT GMBH,304
777,4330,AVENGA,1410
778,906,SOFTSERVE,2884
779,2791,INSTINCTOOLS,470
780,3502,FEXLE INC.,5061
781,3608,COMSENSE TECHNOLOGIES,5256
782,1295,AVENGA,1366
783,1463,COMSENSE TECHNOLOGIES,5042
784,1433,CIKLUM,5115
785,2333,VRP CONSULTING,4008
786,5272,DATAART,3730
787,2968,THINKPORT GMBH,5224
788,3646,INFOPULSE,4357
789,433,SOFTSERVE,5394
790,4726,FUTURE PROCESSING,2795
791,4967,SOFTSERVE,3462
792,1473,JELVIX,859
793,3803,FUTURE PROCESSING,5271
794,3047,ELEKS,3402
795,1487,FEXLE INC.,1917
796,431,ADASTRA,3394
797,884,FEXLE INC.,197
798,3624,ADASTRA,671
799,2154,PROMX,2406
800,5438,AVENGA,3647
801,3448,INFOPULSE,5635
802,3679,ELEKS,2011
803,5559,UNICSOFT,4039
804,2511,UNICSOFT,4909
805,4960,CIKLUM,1849
806,3719,ADASTRA,4350
807,3715,ITEORA GMBH,3289
808,1250,ELEKS,2034
809,1111,UNICSOFT,1191
810,5248,ELEKS,2157
811,4989,FUTURE PROCESSING,4892
812,1273,DATAART,1539
813,1532,ELEKS,404
814,1514,ELEKS,4775
815,4415,INSTINCTOOLS,971
816,5034,JELVIX,5079
817,2417,FEXLE INC.,211
818,4272,ELEKS,1350
819,4114,VRP CONSULTING,4268
820,4263,LEMLOCK,558
821,1765,FEXLE INC.,3128
822,3134,COMSENSE TECHNOLOGIES,4793
823,797,JELVIX,5414
824,3459,FUTURE PROCESSING,718
825,638,INSTINCTOOLS,265
826,767,IT SVIT,3818
827,4666,AVENGA,2750
828,1219,ADASTRA,3792
829,4886,FEXLE INC.,5535
830,5531,INSTINCTOOLS,1153
831,218,ITEORA GMBH,818
832,5118,ADASTRA,3316
833,5305,FUTURE PROCESSING,2866
834,1314,LEMLOCK,2724
835,5127,UNICSOFT,2078
836,2638,VRP CONSULTING,4390
837,5099,CIKLUM,376
838,4803,ADASTRA,3790
839,5235,AVENGA,561
840,2870,ITEORA GMBH,4314
841,4949,IT SVIT,3850
842,4454,CIKLUM,4980
843,579,INFOPULSE,3856
844,2683,ITEORA GMBH,594
845,868,ADASTRA,2311
846,1231,COMSENSE TECHNOLOGIES,402
847,500,DATAART,1483
848,3593,UNICSOFT,3768
849,1749,FUTURE PROCESSING,5270
850,583,UNICSOFT,1449
851,1303,CIKLUM,5050
852,422,VRP CONSULTING,5213
853,485,ADASTRA,1584
854,3037,ADASTRA,2805
855,3556,VRP CONSULTING,325
856,2493,AVENGA,1043
857,284,INFOPULSE,3471
